Losses,epoch,Train DA,tta_status,overlap,threshold,image_score,topo_score,surface_dice,voi_score,voi_split,voi_merge,dt_c_time
Focal_DSC_CLDICEsafe,60,safe,no_TTA,0.5,0.7,0.4629984439336635,0.0955069211180517,0.7053323491386776,0.5356572725706022,1.2095426214375904,1.7258789408832016,2026-02-04 07:53:17.311585
Focal_DSC_CLDICEsafe,60,safe,no_TTA,0.5,0.5,0.5006044130622643,0.1074401753524892,0.7861254556724174,0.5520812884890614,1.1519201208424052,1.5872082941386236,2026-02-04 04:53:45.783942
Focal_DSC_CLDICEsafe,60,safe,no_TTA,0.5,0.6,0.4841912302884708,0.1048370123064615,0.7604903608021762,0.5330528580450588,1.3650393726335746,1.5977761171492932,2026-02-04 06:24:02.382875
CESoftDiceclDiceLoss_step3_1,model,safe,TTA,0.5,0.4,0.5211386234100994,0.1484751161602851,0.7999284131647441,0.5617746970124384,1.1254433692097094,1.5007360493291264,2026-02-14 00:02:32.265836
CESoftDiceclDiceLoss_step3_1,model,safe,TTA,0.5,0.5,0.5214904432401347,0.1486041238804822,0.8086963820082931,0.5539013496373928,1.2418055125067962,1.4703738780194326,2026-02-14 00:44:16.777545
CESoftDiceclDiceLoss_step3_1,model,safe,TTA,0.5,0.6,0.5158414810134505,0.1397110958695008,0.8080776223869474,0.5460028126204822,1.318566804005581,1.4869033516227126,2026-02-14 01:24:46.351792
CESoftDiceclDiceLoss_step3_1,model,safe,no_TTA,0.5,0.4,0.5135053620506673,0.13083612477047,0.7947303478811092,0.5602825796032512,1.0749661298360356,1.565195279957121,2026-02-13 12:21:51.680240
CESoftDiceclDiceLoss_step3_1,model,safe,no_TTA,0.5,0.5,0.5161419574465352,0.1372195222957595,0.8040916128910695,0.5529829607026656,1.1600386616562648,1.5579578923805508,2026-02-13 13:06:13.972771
CESoftDiceclDiceLoss_step3_1,model,safe,no_TTA,0.5,0.6,0.5138955328713685,0.131948799852901,0.8094321211460711,0.5457418586124947,1.256788810749686,1.5462815793034994,2026-02-13 13:47:32.264242
Focal_DSC_CLDICEsafe,model,safe,TTA,0.5,0.4,0.5091369465509312,0.1434688410796952,0.7674526072409383,0.5642510905505547,1.0901604570993588,1.5128550570734018,2026-02-05 12:21:47.065634
Focal_DSC_CLDICEsafe,model,safe,TTA,0.5,0.5,0.5116219433668205,0.1441216168174043,0.7867534069192291,0.5514907597139114,1.2449624086903266,1.4963827811404131,2026-02-05 16:31:35.907209
Focal_DSC_CLDICEsafe,model,safe,TTA,0.5,0.6,0.4952446090556366,0.1361947323936815,0.758767805016183,0.5394784502339092,1.3136448828663343,1.575487925019004,2026-02-06 15:53:22.420413
Focal_DSC_CLDICEsafe,model,safe,no_TTA,0.6,0.4,0.5014209808275716,0.1260446304003841,0.7596276222807992,0.5649654968833618,1.0121413354295483,1.589728928593034,2026-02-03 18:45:28.939873
Focal_DSC_CLDICEsafe,model,safe,no_TTA,0.6,0.7,0.4660492138520429,0.099551359516144,0.7086226291378753,0.5376168165684098,1.1928024912233326,1.7189321033801372,2026-02-04 01:45:17.692627
Focal_DSC_CLDICEsafe,model,safe,no_TTA,0.6,0.5,0.5016006518343411,0.1186613878586579,0.7822785715623045,0.5491563869426777,1.200182553420495,1.5658569164773368,2026-02-03 21:06:43.661506
Focal_DSC_CLDICEsafe,model,safe,no_TTA,0.6,0.6,0.4877090301764762,0.1136421498628532,0.7590992890638832,0.5369475258436028,1.319604046864034,1.600024212435367,2026-02-03 23:26:34.271343
Focal_DSC_CLDICEsafe,model,safe,no_TTA,0.5,0.4,0.5003529404191471,0.1235690076480661,0.7585252229871924,0.5651383145120285,1.003565353378825,1.597178806902264,2026-02-03 11:49:15.489573
